nama_desa,jumlah
ALU RAMBE,2
BABAH LUENG,1
BAYU,18
BL. ADO,2
BL. ARA,7
BL. GURAH,13
BL. RIEK,5
BL. TALON,12
BUKET,14
CEMECET,7
CEMPEDAK,2
COT MERBO,16
COT RHEU,12
COT SEMIYONG,4
COT SEUTUI,3
FASKES LAIN,5
GUHA ULHEU,4
KD. KRUENG,3
KEUDE BLANG ARA,0
KR. MANYANG,7
KR. SENONG,27
KR. SEPENG,5
KRESEK,2
LANGKUTA,7
LHOKJOK,15
MC. BAHAGIA,2
MEUNASAH DAYAH,14
MEUNASAH KULAM,5
MEUNASAH KUMBANG,7
MEURIYA,1
MULING MANYANG,8
MULING MEUCAT,7
P. RAYEUK 2,8
PULO BARAT,5
PULO IBOH,6
PULO RAYEUK,2
Panton Rayek 1,0
SAWEUK,1
SEUNEBOK DRIEN,5
SIDO MULYO,26
